"scenario","test_type","test_name","n","h_label","rejection_rate"
"S4U","DRT","LinearMMD_test",200,"Null",0.048
"S4U","DRT","CV_LinearMMD_test",200,"Null",0.122
"S4U","DRT","CLF_test",200,"Null",0.004
"S4U","DRT","CV_CLF_test",200,"Null",0.014
"S4U","DRT","CP_test",200,"Null",0.024
"S4U","DRT","debiased_test",200,"Null",0.014
"S4U","DRT","BlockMMD_test",200,"Null",0.126
"S4U","DRT","CV_BlockMMD_test",200,"Null",0.104
"S4U","DRT","bootstrap_MMD_test",200,"Null",0.182
"S4U","CIT","RCIT_test",200,"Null",0.174
"S4U","CIT","PCM_test",200,"Null",0.084
"S4U","CIT","GCM_test",200,"Null",0.05
"S4U","DRT","LinearMMD_test",200,"Alternative",0.06
"S4U","DRT","CV_LinearMMD_test",200,"Alternative",0.124
"S4U","DRT","CLF_test",200,"Alternative",0.02
"S4U","DRT","CV_CLF_test",200,"Alternative",0.062
"S4U","DRT","CP_test",200,"Alternative",0.16
"S4U","DRT","debiased_test",200,"Alternative",0.072
"S4U","DRT","BlockMMD_test",200,"Alternative",0.122
"S4U","DRT","CV_BlockMMD_test",200,"Alternative",0.11
"S4U","DRT","bootstrap_MMD_test",200,"Alternative",0.18
"S4U","CIT","RCIT_test",200,"Alternative",0.224
"S4U","CIT","PCM_test",200,"Alternative",0.14
"S4U","CIT","GCM_test",200,"Alternative",0.148
"S4U","DRT","LinearMMD_test",500,"Null",0.106
"S4U","DRT","CV_LinearMMD_test",500,"Null",0.126
"S4U","DRT","CLF_test",500,"Null",0.014
"S4U","DRT","CV_CLF_test",500,"Null",0.03
"S4U","DRT","CP_test",500,"Null",0.058
"S4U","DRT","debiased_test",500,"Null",0.03
"S4U","DRT","BlockMMD_test",500,"Null",0.152
"S4U","DRT","CV_BlockMMD_test",500,"Null",0.158
"S4U","DRT","bootstrap_MMD_test",500,"Null",0.24
"S4U","CIT","RCIT_test",500,"Null",0.112
"S4U","CIT","PCM_test",500,"Null",0.042
"S4U","CIT","GCM_test",500,"Null",0.044
"S4U","DRT","LinearMMD_test",500,"Alternative",0.102
"S4U","DRT","CV_LinearMMD_test",500,"Alternative",0.124
"S4U","DRT","CLF_test",500,"Alternative",0.038
"S4U","DRT","CV_CLF_test",500,"Alternative",0.13
"S4U","DRT","CP_test",500,"Alternative",0.368
"S4U","DRT","debiased_test",500,"Alternative",0.27
"S4U","DRT","BlockMMD_test",500,"Alternative",0.178
"S4U","DRT","CV_BlockMMD_test",500,"Alternative",0.166
"S4U","DRT","bootstrap_MMD_test",500,"Alternative",0.262
"S4U","CIT","RCIT_test",500,"Alternative",0.3
"S4U","CIT","PCM_test",500,"Alternative",0.088
"S4U","CIT","GCM_test",500,"Alternative",0.278
"S4U","DRT","LinearMMD_test",1000,"Null",0.118
"S4U","DRT","CV_LinearMMD_test",1000,"Null",0.16
"S4U","DRT","CLF_test",1000,"Null",0.01
"S4U","DRT","CV_CLF_test",1000,"Null",0.04
"S4U","DRT","CP_test",1000,"Null",0.076
"S4U","DRT","debiased_test",1000,"Null",0.022
"S4U","DRT","BlockMMD_test",1000,"Null",0.2
"S4U","DRT","CV_BlockMMD_test",1000,"Null",0.22
"S4U","DRT","bootstrap_MMD_test",1000,"Null",0.396
"S4U","CIT","RCIT_test",1000,"Null",0.1
"S4U","CIT","PCM_test",1000,"Null",0.012
"S4U","CIT","GCM_test",1000,"Null",0.048
"S4U","DRT","LinearMMD_test",1000,"Alternative",0.108
"S4U","DRT","CV_LinearMMD_test",1000,"Alternative",0.17
"S4U","DRT","CLF_test",1000,"Alternative",0.08
"S4U","DRT","CV_CLF_test",1000,"Alternative",0.296
"S4U","DRT","CP_test",1000,"Alternative",0.538
"S4U","DRT","debiased_test",1000,"Alternative",0.44
"S4U","DRT","BlockMMD_test",1000,"Alternative",0.236
"S4U","DRT","CV_BlockMMD_test",1000,"Alternative",0.224
"S4U","DRT","bootstrap_MMD_test",1000,"Alternative",0.434
"S4U","CIT","RCIT_test",1000,"Alternative",0.384
"S4U","CIT","PCM_test",1000,"Alternative",0.056
"S4U","CIT","GCM_test",1000,"Alternative",0.442
"S4U","DRT","LinearMMD_test",2000,"Null",0.126
"S4U","DRT","CV_LinearMMD_test",2000,"Null",0.16
"S4U","DRT","CLF_test",2000,"Null",0.03
"S4U","DRT","CV_CLF_test",2000,"Null",0.076
"S4U","DRT","CP_test",2000,"Null",0.072
"S4U","DRT","debiased_test",2000,"Null",0.022
"S4U","DRT","BlockMMD_test",2000,"Null",0.224
"S4U","DRT","CV_BlockMMD_test",2000,"Null",0.298
"S4U","DRT","bootstrap_MMD_test",2000,"Null",0.504
"S4U","CIT","RCIT_test",2000,"Null",0.08
"S4U","CIT","PCM_test",2000,"Null",0
"S4U","CIT","GCM_test",2000,"Null",0.034
"S4U","DRT","LinearMMD_test",2000,"Alternative",0.126
"S4U","DRT","CV_LinearMMD_test",2000,"Alternative",0.172
"S4U","DRT","CLF_test",2000,"Alternative",0.214
"S4U","DRT","CV_CLF_test",2000,"Alternative",0.546
"S4U","DRT","CP_test",2000,"Alternative",0.696
"S4U","DRT","debiased_test",2000,"Alternative",0.574
"S4U","DRT","BlockMMD_test",2000,"Alternative",0.232
"S4U","DRT","CV_BlockMMD_test",2000,"Alternative",0.332
"S4U","DRT","bootstrap_MMD_test",2000,"Alternative",0.538
"S4U","CIT","RCIT_test",2000,"Alternative",0.594
"S4U","CIT","PCM_test",2000,"Alternative",0.074
"S4U","CIT","GCM_test",2000,"Alternative",0.706
"S4U","CIT","WGSC_test",200,"Null",0.066
"S4U","CIT","WGSC_test",200,"Alternative",0.072
"S4U","CIT","WGSC_test",500,"Null",0.03
"S4U","CIT","WGSC_test",500,"Alternative",0.026
"S4U","CIT","WGSC_test",1000,"Null",0.03
"S4U","CIT","WGSC_test",1000,"Alternative",0.024
"S4U","CIT","WGSC_test",2000,"Null",0.004
"S4U","CIT","WGSC_test",2000,"Alternative",0.00799999999999999
"S4U","DRT","CV_BlockMMD_test",200,"Null",0.104
"S4U","DRT","CV_BlockMMD_test",200,"Alternative",0.11
"S4U","DRT","CV_BlockMMD_test",500,"Null",0.158
"S4U","DRT","CV_BlockMMD_test",500,"Alternative",0.166
"S4U","DRT","CV_BlockMMD_test",1000,"Null",0.22
"S4U","DRT","CV_BlockMMD_test",1000,"Alternative",0.224
"S4U","DRT","CV_BlockMMD_test",2000,"Null",0.298
"S4U","DRT","CV_BlockMMD_test",2000,"Alternative",0.332
"S4U","DRT","CV_BlockMMD_test",200,"Null",0.104
"S4U","DRT","CV_BlockMMD_test",200,"Alternative",0.11
"S4U","DRT","CV_BlockMMD_test",500,"Null",0.158
"S4U","DRT","CV_BlockMMD_test",500,"Alternative",0.166
"S4U","DRT","CV_BlockMMD_test",1000,"Null",0.22
"S4U","DRT","CV_BlockMMD_test",1000,"Alternative",0.224
"S4U","DRT","CV_BlockMMD_test",2000,"Null",0.298
"S4U","DRT","CV_BlockMMD_test",2000,"Alternative",0.332
